id	Sex	TrueID	BestAgeLastCapture2	Alive	FirstPL	LastPL	EstAgePL	BestAgeFirstCapture2	FirstCapYear2	LastCapYear2
S1241	Female	102090000030900	8.1	N	151	151	9.893302003	8.2	2003	2003
S130	Female	110110000010200	13.6	N	151	157.33	9.893302003	8.6	2010	2015
S1304	Female	102000000010000	23.9	N	151	155	9.893302003	9.9	1995	2009
S1362	Female	108000000020300	14.5	N	151	153	9.893302003	7.6	2005	2012
S1368	Female	101081000030000	7.7	N	151	152.66	9.893302003	6.7	2012	2013
S138	Female	112000000091100	12	N	151	164.5	9.893302003	5	2007	2014
S1400	Female	108120000010000	20.5	N	151	151	9.893302003	12.6	1997	2005
S1462	Female	108100000021200	13	Y	151	168.58	9.893302003	5	2009	2017
S18	Female	401031100080000	9.8	N	151	151	9.893302003	9.8	2014	2014
S2052	Female	109120000081000	15.4	Y	151	150.89	9.893302003	8.5	2010	2017
S369	Male	203120000021200	15	Y	151	151.83	9.96903553	10	2011	2016
S596	Female	101090000021100	7.4	N	151	151	9.893302003	7.5	2001	2001
S625	Female	103120000080000	17.9	N	151	158	9.893302003	12	1998	2004
S805	Female	111120000020900	11.1	N	151	154.94	9.893302003	9.1	2011	2013
S883	Female	401080000090000	9.3	N	151	151	9.893302003	9.4	2012	2012
S919	Female	101020000021200	13.9	N	151	149.4	9.893302003	9.9	2000	2004
S921	Female	101090000011100	12.7	N	151	151	9.893302003	7.7	2001	2006
S929	Female	101110000020300	10.2	N	151	158	9.893302003	8.3	2002	2005
S966	Female	111120000110000	11	N	151	157	9.893302003	8.3	1999	2002
S541	Male	210000000081100	10.1	N	151.2	151.2	10.05546959	10.1	2014	2014
S2103	Female	102031100090000	9.6	Y	151.5	155	9.992069242	6.6	2015	2018
S2131	Male	209120000020900	11.2	Y	151.6	151.66	10.23439273	10.3	2015	2016
S953	Female	108090000111200	18.1	N	151.8	160.08	10.05203966	10.1	2008	2016
S1360	Female	103120000020300	11.3	N	151.9	152	10.07215028	7.3	2008	2012
S1221	Female	101110000111200	7	N	152	153	10.09232176	6	2002	2003
S1222	Female	101120000010800	6	N	152	152	10.09232176	6	2002	2002
S124	Female	109120000031100	15	Y	152	166	10.09232176	7	2010	2018
S1408	Female	101120000110000	18.1	N	152	159	10.09232176	10.1	1995	2003
S1460	Female	108000000081100	16.1	Y	152	154	10.09232176	10.1	2012	2018
S2018	Female	101030910120000	8.9	Y	152	152	10.09232176	8.9	2018	2018
S2032	Female	109100000101200	14	Y	152	166	10.09232176	5	2009	2018
S2134	Female	110120000031000	12	Y	152	159	10.09232176	5	2011	2018
S34	Female	101100000030000	25	N	152	161.25	10.09232176	8	1995	2015
S645	Female	108100000091100	15.1	N	152	161	10.09232176	10.2	2009	2014
S879	Female	102080000110000	33.1	Y	152	168	10.09232176	10.1	1995	2018
S899	Female	109110000110000	20.4	N	152	NA	10.09232176	7.4	1998	2011
S943	Female	108120000030900	16.8	Y	152	159	10.09232176	7.8	2009	2018
